Denumirea comerciala,DCI,Forma,Conc,Firma / Tara detinatoare,Ambalaj,Pres.,ATC,Doza_Adult,Doza_Copil,Simptome_combatute
FLAVAMED 60 mg,AMBROXOLUM,COMPR. EFF.,60mg,BERLIN-CHEMIE AG (MENARINI GROUP) - GERMANIA,"Cutie cu 1 tub din Al sau PP x 10
compr. eff. - 3 ani",OTC,R05CB06,30 mg three times daily,15 mg two to three times daily for children aged 5-12 years,Mucolytic.enhances mucus clearance
FLAVAMED 60 mg,AMBROXOLUM,COMPR. EFF.,60mg,BERLIN-CHEMIE AG (MENARINI GROUP) - GERMANIA,"Cutie cu 1 tub din Al sau PP x 20
compr. eff. - 3 ani",OTC,R05CB06,30 mg three times daily,15 mg two to three times daily for children aged 5-12 years,Mucolytic.enhances mucus clearance
FLAVAMED COMPRIMATE 30 mg,AMBROXOLUM,COMPR.,30mg,BERLIN-CHEMIE AG - GERMANIA,"Cutie cu blist. PVC/Al x 10 compr. - 2
ani",OTC,R05CB06,30 mg three times daily,15 mg two to three times daily for children aged 5-12 years,Mucolytic.enhances mucus clearance
FLAVAMED COMPRIMATE 30 mg,AMBROXOLUM,COMPR.,30mg,BERLIN-CHEMIE AG - GERMANIA,"Cutie cu blist. PVC/A x 20 compr. - 2
ani",OTC,R05CB06,30 mg three times daily,15 mg two to three times daily for children aged 5-12 years,Mucolytic.enhances mucus clearance
FLAVAMED COMPRIMATE 30 mg,AMBROXOLUM,COMPR.,30mg,BERLIN-CHEMIE AG - GERMANIA,"Cutie cu blist. PVC/A x 50 compr. - 2
ani",OTC,R05CB06,30 mg three times daily,15 mg two to three times daily for children aged 5-12 years,Mucolytic.enhances mucus clearance
FLAVOSOL 30 mg/ml,PROPOLIS,PIC. ORALE. SOL.,30mg/ml,"TIS FARMACEUTIC S.A. -
ROMANIA","Cutie cu 1 flacon PEJD x 25 ml pic.
orale. sol. + masura dozatoare - 3 ani",OTC,XNAP1,Apply as needed (topical),Consult a healthcare provider,Anti-inflammatory.various skin conditions
FLONIDAN,LORATADINUM,COMPR.,10mg,"LEK PHARMACEUTICALS D.D. -
SLOVENIA","Cutie x 1 blist.  Al/PVC x 10 compr. - 4
ani",OTC,R06AX13,10 mg once daily,5 mg once daily for children 2-12 years,Allergy symptoms: sneezing.runny nose.itchy/watery eyes
FLUIDOL 250mg/5ml,CARBOCISTEINUM,SOL. ORALA,250mg/5ml,TIS FARMACEUTIC SA - ROMANIA,"Cutie x 1 flacon din PVC x 100 ml sirop + lingurita dubla gradata la 2.5 si
5 ml - 2 ani",OTC,R05CB03,375 mg three times daily,Consult a healthcare provider,Mucolytic agent.respiratory conditions
FLUIMUCIL 100,ACETYLCYSTEINUM,"GRAN. PT. SOL.
ORALA",100mg,ZAMBON S.P.A. - ITALIA,"Cutie cu 30 plicuri unidoza x 1 g gran.
pt. susp. orala - 3 ani",OTC,R05CB01,600 mg once daily or 200 mg three times daily,200 mg three times daily for children under 6 years,Mucolytic for respiratory conditions.antidote for acetaminophen overdose
FLUIMUCIL 200,ACETYLCYSTEINUM,"GRAN. PT. SOL.
ORALA",200mg,ZAMBON S.P.A. - ITALIA,"Cutie cu 30 plicuri unidoza x 1 g gran.
pt. susp. orala - 3 ani",OTC,R05CB01,600 mg once daily or 200 mg three times daily,200 mg three times daily for children under 6 years,Mucolytic for respiratory conditions.antidote for acetaminophen overdose
FLUIMUCIL 600,ACETYLCYSTEINUM,COMPR. EFF.,600mg,ZAMBON S.P.A. - ITALIA,"Cutie cu 5 blist. PA-Al-PE/Al-PE x 2
compr. eff. - 3 ani",OTC,R05CB01,600 mg once daily or 200 mg three times daily,200 mg three times daily for children under 6 years,Mucolytic for respiratory conditions.antidote for acetaminophen overdose
FORLAX 10 g,MACROGOLUM,PULB. PT. SOL. ORALA,10g,IPSEN PHARMA - FRANTA,Cutie x 10 plicuri - 3 ani,OTC,A06AD15,10-20 grams daily,Consult a healthcare provider,Laxative.bowel cleansing
FORLAX 10 g,MACROGOLUM,PULB. PT. SOL. ORALA,10g,IPSEN PHARMA - FRANTA,Cutie x 20 plicuri - 3 ani,OTC,A06AD15,10-20 grams daily,Consult a healthcare provider,Laxative.bowel cleansing
FORLAX 10 g,MACROGOLUM,PULB. PT. SOL. ORALA,10g,IPSEN PHARMA - FRANTA,Cutie x 30 plicuri - 3 ani,OTC,A06AD15,10-20 grams daily,Consult a healthcare provider,Laxative.bowel cleansing
FORLAX 10 g,MACROGOLUM,PULB. PT. SOL. ORALA,10g,IPSEN PHARMA - FRANTA,Cutie x 50 plicuri - 3 ani,OTC,A06AD15,10-20 grams daily,Consult a healthcare provider,Laxative.bowel cleansing
FUNGISIL MK crema,TERBINAFINUM,CREMA,10mg/g,FITERMAN PHARMA S.R.L. - ROMANIA,Cutie x 1 tub. x 15 g crema - 2 ani,OTC,D01AE15,250 mg once daily,Consult a healthcare provider,Antifungal.skin infections
FUNGISIL MK crema,TERBINAFINUM,CREMA,10mg/g,FITERMAN PHARMA S.R.L. - ROMANIA,Cutie x 1 tub. x 50 g crema - 2 ani,OTC,D01AE15,250 mg once daily,Consult a healthcare provider,Antifungal.skin infections
FURAZOLIDON TERAPIA 100 mg,FURAZOLIDONUM,COMPR.,100mg,TERAPIA SA - ROMANIA,"Cutie x 1 blist. Al/PVC x 20 compr. - 2
ani",OTC,A07AXN1,100 mg four times daily for 5-7 days,Consult a healthcare provider,Antimicrobial.treatment of diarrheal diseases
FURAZOLIDON TERAPIA 100 mg,FURAZOLIDONUM,COMPR.,100mg,TERAPIA SA - ROMANIA,"Cutie x 1 blist. Al/PVC x 10 compr. - 2
ani",OTC,A07AXN1,100 mg four times daily for 5-7 days,Consult a healthcare provider,Antimicrobial.treatment of diarrheal diseases
FURAZOLIDONA ARENA,FURAZOLIDONUM,COMPR.,25mg,ARENA GROUP SA - ROMANIA,"Cutie x 1 blist. Al/PVC x 10 compr. - 3
ani",OTC,A07AXN1,100 mg four times daily for 5-7 days,Consult a healthcare provider,Antimicrobial.treatment of diarrheal diseases
FURAZOLIDONA FORTE ARENA,FURAZOLIDONUM,COMPR.,100mg,ARENA GROUP SA - ROMANIA,"Cutie x 2 blist. Al/PVC x 10 compr. - 3
ani",OTC,A07AXN1,100 mg four times daily for 5-7 days,Consult a healthcare provider,Antimicrobial.treatment of diarrheal diseases
GLIMBAX,DICLOFENACUM,APA DE GURA,0.074g/100ml,CSC PHARMACEUTICALS HANDELS GMBH - AUSTRIA,"Cutie x 1 flacon din sticla bruna x 200 ml apa de gura + masura dozatoare x
15 ml - 3 ani",OTC,A01AD11,500-1000 mg four times daily,Consult a healthcare provider,Bacterial infections
HAIRGROW,MINOXIDILUM,SPRAY CUTANAT SOL.,20mg/ml,DAR AL DAWA PHARMA S.R.L. - ROMANIA,"Cutie x 1 flacon pulverizator din PEID prevazut cu pompa dozatoare x 50 ml
spray cutanat. sol. - 3 ani",OTC,D11AX01,Topical solution 5% applied twice daily,Not recommended for children,Hair loss treatment
HEXORAL 2 mg/ml,HEXETIDINUM,"SPRAY BUCOFARINGIAN
.SOL",2mg/ml,MCNEIL PRODUCTS LIMITED C/O JOHNSON & JOHNSON - MAREA BRITANIE,"Cutie x 1 flacon presurizat din  Al x 40 ml  spray bucofaringian. solutie+ valva si sistem de pulverizare - 2 ani-dupa ambalare pentru comercializare/6 luni
dupa prima deschidere a fl.",OTC,A01AB12,5-10 ml mouthwash twice daily,Consult a healthcare provider,Oral hygiene.antibacterial and antifungal
"HEXPECTORAL MENTOL 20
mg/ml",GUAIFENESINUM,SOL. ORALA,20mg/ml,MCNEIL PRODUCTS LIMITED C/O JOHNSON&JOHNSON - MAREA BRITANIE,"Cutie cu 1 flac. din sticla bruna x 150 ml sol. orala - 3 ani-dupa ambalarea pt. comercializare; dupa prima
deschidere-4 saptamani",OTC,R05CA03,200-400 mg every 4-6 hours,100-200 mg every 4-6 hours for children over 6 years,Cough suppressant (expectorant)
HIRUDOID CREMA,HEPARINOIDUM,CREMA,3mg/g,"STADA ARZNEIMITTEL AG -
GERMANIA",Cutie x 1 tub din Al x 40g - 5 ani,OTC,C05BA01,Apply as directed (topical anticoagulant),Consult a healthcare provider,Anticoagulant.reduce clot formation
HIRUDOID GEL,HEPARINOIDUM,GEL,3mg/g,STADA ARZNEIMITTEL AG -,Cutie x  1 tub din Al x 40g - 5 ani,OTC,C05BA01,Apply as directed (topical anticoagulant),Consult a healthcare provider,Anticoagulant.reduce clot formation
HIRUDOID GEL,HEPARINOIDUM,GEL,3mg/g,GERMANIA,,,,Apply as directed (topical anticoagulant),Consult a healthcare provider,Anticoagulant.reduce clot formation
HUMOTUSIN EXPECTORANT PENTRU ADULTI,CARBOCISTEINUM,SIROP,750mg/15ml,LAB. URGO - FRANTA,"Cutie x 1 flac. din sticla bruna x 125 ml sirop + masura dozatoare x 15 ml - 3
ani",OTC,R05CB03,375 mg three times daily,Consult a healthcare provider,Mucolytic agent.respiratory conditions
HYPERVULSIN 30 mg/g,METHYLII NICOTINAS,UNGUENT,30mg/g,HYPERION S.A. - ROMANIA,"Cutie cu 1 tub Al x 35 g unguent - 3
ani",OTC,M02AX10,20 mg daily,Consult a healthcare provider,Nicotine replacement therapy
IBALGIN,IBUPROFENUM,COMPR. FILM.,200mg,ZENTIVA AS - CEHIA,"Cutie x 1 blist. Al/PVC x 10 compr.
film. - 3 ani",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
IBALGIN,IBUPROFENUM,COMPR. FILM.,200mg,ZENTIVA AS - CEHIA,"Cutie x 1 blist. Al/PVC x 12 compr.
film. - 3 ani",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
IBALGIN,IBUPROFENUM,COMPR. FILM.,200mg,ZENTIVA AS - CEHIA,"Cutie x 2 blist. Al/PVC x 12 compr.
film. - 3 ani",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
IBALGIN,IBUPROFENUM,COMPR. FILM.,200mg,ZENTIVA AS - CEHIA,Cutie x 3 blist. x 10 compr. film. - 3 ani,OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
IBALGIN FORTE,IBUPROFENUM,COMPR. FILM.,400mg,ZENTIVA K.S. - CEHIA,"Cutie x 1 blist. PVC/Al x 10 compr.
film. - 3 ani",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
IBALGIN FORTE,IBUPROFENUM,COMPR. FILM.,400mg,ZENTIVA K.S. - CEHIA,"Cutie x 1 blist. Al/PVC x 12 compr.
film. - 3 ani",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
IBALGIN GEL,IBUPROFENUM,GEL,5%,ZENTIVA AS - CEHIA,Cutie x 1 tub Al x 50 g gel - 2 ani,OTC,M02AA13,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
IBALGIN RAPID,IBUPROFENUM,COMPR. FILM.,400mg,ZENTIVA  K.S. - REPUBLICA CEHA,"Cutie cu blist. transparent
PVC-Aclar-PVC/PVC-PVAc-Al x 6
compr. film. - 2 ani",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
IBALGIN RAPID,IBUPROFENUM,COMPR. FILM.,400mg,ZENTIVA  K.S. - REPUBLICA CEHA,"Cutie cu blist. transparent
PVC-Aclar-PVC/PVC-PVAc-Al x 12
compr. film. - 2 ani",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
IBALGIN RAPID,IBUPROFENUM,COMPR. FILM.,400mg,ZENTIVA  K.S. - REPUBLICA CEHA,"Cutie cu blist.
transparentPVC-Aclar-PVC/PVC-PVA c-Al x 18 compr. film. - 2 ani",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
IBALGIN RAPID,IBUPROFENUM,COMPR. FILM.,400mg,ZENTIVA  K.S. - REPUBLICA CEHA,"Cutie cu blist. transparent
PVC-Aclar-PVC/PVC-PVAc-Al x 24
compr. film. - 2 ani",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
IBALGIN RAPID,IBUPROFENUM,COMPR. FILM.,400mg,ZENTIVA  K.S. - REPUBLICA CEHA,"Cutie cu blist. alb
PVC-Aclar-PVC/PVC-PVAc-Al x 6
compr. film. - 2 ani",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
IBALGIN RAPID,IBUPROFENUM,COMPR. FILM.,400mg,ZENTIVA  K.S. - REPUBLICA CEHA,Cutie cu blist. alb,OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
IBALGIN RAPID,IBUPROFENUM,COMPR. FILM.,400mg,ZENTIVA  K.S. - REPUBLICA CEHA,"PVC-Aclar-PVC/PVC-PVAc-Al x 12
compr. film. - 2 ani",,,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
IBALGIN RAPID,IBUPROFENUM,COMPR. FILM.,400mg,ZENTIVA  K.S. - REPUBLICA CEHA,"Cutie cu blist. alb
PVC-Aclar-PVC/PVC-PVAc-Al x 18
compr. film. - 2 ani",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
IBALGIN RAPID,IBUPROFENUM,COMPR. FILM.,400mg,ZENTIVA  K.S. - REPUBLICA CEHA,"Cutie cu blist. alb
PVC-Aclar-PVC/PVC-PVAc-Al x 24
compr. film. - 2 ani",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
IBALGIN SPORT,IBUPROFENUM,CREMA,400mg,ZENTIVA K.S. - CEHIA,"Cutie x 1 tub din Al x 30 g crema - 2
ani",OTC,M02AA13,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
IBALGIN SPORT,IBUPROFENUM,CREMA,400mg,ZENTIVA K.S. - CEHIA,"Cutie x 1 tub din Al x 50 g crema - 2
ani",OTC,M02AA13,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
IBUFEN 200 mg,IBUPROFENUM,COMPR. FILM.,200mg,ANTIBIOTICE SA - ROMANIA,Cutie x 2 blist. x 10 compr. film. - 3 ani,OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
IBUFEN 200 mg,IBUPROFENUM,COMPR. FILM.,200mg,ANTIBIOTICE SA - ROMANIA,"Cutie x 1 blist. Al/PVC x 10 compr.
film. - 3 ani",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
IBUFEN 200 mg,IBUPROFENUM,COMPR. FILM.,200mg,ANTIBIOTICE SA - ROMANIA,"Cutie x 3 blist. Al/PVC x 10 compr.
film. - 3 ani",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
IBUPROFEN ARENA 200 mg,IBUPROFENUM,CAPS.,200mg,ARENA GROUP SA - ROMANIA,"Cutie x 1 blist. Al/PVC x 10 caps. - 3
ani",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
IBUPROFEN ARENA 200 mg,IBUPROFENUM,CAPS.,200mg,ARENA GROUP SA - ROMANIA,"Cutie x 2 blist. Al/PVC x 10 caps. - 3
ani",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
IBUPROFEN ARENA 200 mg,IBUPROFENUM,CAPS.,200mg,ARENA GROUP SA - ROMANIA,"Cutie x 100 blist. Al/PVC x 10 caps. -
3 ani",OTC/S,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
IBUPROFEN ARENA 400 mg,IBUPROFENUM,CAPS.,400mg,ARENA GROUP S.A. - ROMANIA,"Cutie cu 1 blist. PVC/Al x 10 caps. - 3
ani",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
IBUPROFEN BANNER PT. COPII PESTE 7 ANI 100 mg,IBUPROFENUM,CAPS. MOI MASTICABILE,100mg,"BANNER PHARMACAPS EUROPE
B.V. - OLANDA","Cutie cu 1 blist. PVC-PE-PVDC/Al x 2
caps. moi masticabile - 15 luni",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
IBUPROFEN BANNER PT. COPII PESTE 7 ANI 100 mg,IBUPROFENUM,CAPS. MOI MASTICABILE,100mg,"BANNER PHARMACAPS EUROPE
B.V. - OLANDA","Cutie cu blist. PVC-PE-PVDC/Al x 4
caps. moi masticabile - 15 luni",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
IBUPROFEN BANNER PT. COPII PESTE 7 ANI 100 mg,IBUPROFENUM,CAPS. MOI MASTICABILE,100mg,"BANNER PHARMACAPS EUROPE
B.V. - OLANDA","Cutie cu blist. PVC-PE-PVDC/Al x 6
caps. moi masticabile - 15 luni",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
IBUPROFEN BANNER PT. COPII PESTE 7 ANI 100 mg,IBUPROFENUM,CAPS. MOI MASTICABILE,100mg,"BANNER PHARMACAPS EUROPE
B.V. - OLANDA","Cutie cu blist. PVC-PE-PVDC/Al x 8
caps. moi masticabile - 15 luni",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
IBUPROFEN BANNER PT. COPII PESTE 7 ANI 100 mg,IBUPROFENUM,CAPS. MOI MASTICABILE,100mg,"BANNER PHARMACAPS EUROPE
B.V. - OLANDA","Cutie cu blist. PVC-PE-PVDC/Al x 10
caps. moi masticabile - 15 luni",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
IBUPROFEN BANNER PT. COPII PESTE 7 ANI 100 mg,IBUPROFENUM,CAPS. MOI MASTICABILE,100mg,"BANNER PHARMACAPS EUROPE
B.V. - OLANDA","Cutie cu blist. PVC-PE-PVDC/Al x 12
caps. moi masticabile - 15 luni",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
IBUPROFEN BANNER PT. COPII PESTE 7 ANI 100 mg,IBUPROFENUM,CAPS. MOI MASTICABILE,100mg,"BANNER PHARMACAPS EUROPE
B.V. - OLANDA","Cutie cu blist. PVC-PE-PVDC/Al x 14
caps. moi masticabile - 15 luni",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
IBUPROFEN BANNER PT. COPII PESTE 7 ANI 100 mg,IBUPROFENUM,CAPS. MOI MASTICABILE,100mg,"BANNER PHARMACAPS EUROPE
B.V. - OLANDA",Cutie cu blist. PVC-PE-PVDC/Al x 16,OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
IBUPROFEN BANNER PT. COPII PESTE 7 ANI 100 mg,IBUPROFENUM,CAPS. MOI MASTICABILE,100mg,"BANNER PHARMACAPS EUROPE
B.V. - OLANDA",caps. moi masticabile - 15 luni,,,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
IBUPROFEN BANNER PT. COPII PESTE 7 ANI 100 mg,IBUPROFENUM,CAPS. MOI MASTICABILE,100mg,"BANNER PHARMACAPS EUROPE
B.V. - OLANDA","Cutie cu blist. PVC-PE-PVDC/Al x 18
caps. moi masticabile - 15 luni",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
IBUPROFEN BANNER PT. COPII PESTE 7 ANI 100 mg,IBUPROFENUM,CAPS. MOI MASTICABILE,100mg,"BANNER PHARMACAPS EUROPE
B.V. - OLANDA","Cutie cu blist. PVC-PE-PVDC/Al x 20
caps. moi masticabile - 15 luni",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
IBUPROFEN BANNER PT. COPII PESTE 7 ANI 100 mg,IBUPROFENUM,CAPS. MOI MASTICABILE,100mg,"BANNER PHARMACAPS EUROPE
B.V. - OLANDA","Cutie cu blist. PVC-PE-PVDC/Al x 22
caps. moi masticabile - 15 luni",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
IBUPROFEN BANNER PT. COPII PESTE 7 ANI 100 mg,IBUPROFENUM,CAPS. MOI MASTICABILE,100mg,"BANNER PHARMACAPS EUROPE
B.V. - OLANDA","Cutie cu blist. PVC-PE-PVDC/Al x 24
caps. moi masticabile - 15 luni",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
IBUPROFEN BANNER PT. COPII PESTE 7 ANI 100 mg,IBUPROFENUM,CAPS. MOI MASTICABILE,100mg,"BANNER PHARMACAPS EUROPE
B.V. - OLANDA","Cutie cu blist. PVC-PE-PVDC/Al x 26
caps. moi masticabile - 15 luni",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
IBUPROFEN BANNER PT. COPII PESTE 7 ANI 100 mg,IBUPROFENUM,CAPS. MOI MASTICABILE,100mg,"BANNER PHARMACAPS EUROPE
B.V. - OLANDA","Cutie cu blist. PVC-PE-PVDC/Al x 28
caps. moi masticabile - 15 luni",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
IBUPROFEN BANNER PT. COPII PESTE 7 ANI 100 mg,IBUPROFENUM,CAPS. MOI MASTICABILE,100mg,"BANNER PHARMACAPS EUROPE
B.V. - OLANDA","Cutie cu blist. PVC-PE-PVDC/Al x 30
caps. moi masticabile - 15 luni",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
IBUPROFEN BANNER PT. COPII PESTE 7 ANI 100 mg,IBUPROFENUM,CAPS. MOI MASTICABILE,100mg,"BANNER PHARMACAPS EUROPE
B.V. - OLANDA","Cutie cu blist. PVC-PE-PVDC/Al x 32
caps. moi masticabile - 15 luni",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
IBUPROFEN CIPLA 200,IBUPROFENUM,COMPR. FILM.,200mg,"CIPLA (UK) LIMITED - MAREA
BRITANIE","Cutie cu 2 blist. PVC/Al x 10 compr.
film. - 3 ani",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
"IBUPROFEN LIDERFARM 100
mg/5 ml",IBUPROFENUM,SUSP. ORALA,100mg/5ml,FARMALIDER S.A. - SPANIA,"Cutie cu 1 flac. PET a 100 ml susp. orala + 1 seringa pt. administrare orala de 5 ml cu cilindru din PP si un piston PEID cu gradatie de 0.25 ml pana la 5 ml - 3 ani-dupa ambalarea pt. comercializare;dupa prima deschidere
a flac.-6 luni",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
"IBUPROFEN LIDERFARM 100
mg/5 ml",IBUPROFENUM,SUSP. ORALA,100mg/5ml,FARMALIDER S.A. - SPANIA,"Cutie cu 1 flac. PET a 150 ml susp. orala + 1 seringa pt. administrare orala de 5 ml cu cilindru din PP si un piston PEID cu gradatie de 0.25 ml pana la 5 ml - 3 ani-dupa ambalarea pt. comercializare;dupa prima deschidere
a flac.-6 luni",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
"IBUPROFEN LIDERFARM 100
mg/5 ml",IBUPROFENUM,SUSP. ORALA,100mg/5ml,FARMALIDER S.A. - SPANIA,"Cutie cu 1 flac. PET a 200 ml susp. orala + 1 seringa pt. administrare orala de 5 ml cu cilindru din PP si un piston PEID cu gradatie de 0.25 ml pana la 5 ml - 3 ani-dupa ambalarea pt.
comercializare;dupa prima deschidere",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
"IBUPROFEN LIDERFARM 100
mg/5 ml",IBUPROFENUM,SUSP. ORALA,100mg/5ml,FARMALIDER S.A. - SPANIA,a flac.-6 luni,,,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
IBUPROFEN MK,IBUPROFENUM,CREMA,5%,FITERMAN PHARMA S.R.L. - ROMANIA,Cutie x 1 tub Al x 25 g crema - 2 ani,OTC,M02AA13,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
IBUPROFEN MK,IBUPROFENUM,CREMA,5%,FITERMAN PHARMA S.R.L. - ROMANIA,Cutie x 1 tub Al x 45 g crema - 2 ani,OTC,M02AA13,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
IBUPROFEN MK GEL,IBUPROFENUM,GEL,50mg/g,FITERMAN PHARMA S.R.L. - ROMANIA,Cutie x 1 tub din Al x 25 g gel - 2 ani,OTC,M02AA13,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
IBUPROFEN MK GEL,IBUPROFENUM,GEL,50mg/g,FITERMAN PHARMA S.R.L. - ROMANIA,Cutie x 1 tub din Al x 45 g gel - 2 ani,OTC,M02AA13,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
"IBUPROFEN POLPHARMA 100
mg/5 ml",IBUPROFENUM,SUSP. ORALA,100mg/5ml,PHARMACEUTICAL WORKS POLPHARMA SA - POLONIA,"Cutie  cu 1  flac. din PET. prevazut cu adaptor pentru seringa.sistem de închidere securizat pt. copii si 1 inel protector de siguranta si o seringa pentru adm. orala din polistiren - PEJD de 5 ml (cu gradatii de  0.1 ml) a 100 ml susp. orala - 2 ani-dupa
prima deschidere a flaconului - 6 luni",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
